description,port,status,tcp,udp
Hotline file transfer connection,5501,Unofficial,True,False
Outlaws (1997 video game). Both UDP and TCP are reserved, but only UDP is used,5310,Official,True,True
TetriNET IRC gateway on some servers,31456,Unofficial,True,False
Kaillera server,27888,Unofficial,False,True
IBM Lotus Sametime p2p file transfer,5656,Unofficial,True,False
Spiceworks Desktop, IT Helpdesk Software,9676,Unofficial,True,True
Teeworlds Server,8303,Unofficial,False,True
WSDAPI Applications to Use a Secure Channel (only provided by Windows Vista, Windows 7 and Server 2008),5358,Unofficial,True,True
dnsix (DoD Network Security for Information Exchange) Securit Attribute Token Map,90,Official,True,True
PointCast (dotcom),90,Unofficial,True,True
Hydranode—edonkey2000 TELNET control,9999,Unofficial,False,False
Lantronix UDS-10/UDS100[105] RS-485 to Ethernet Converter TELNET control,9999,Unofficial,True,False
Urchin Web Analytics[citation needed],9999,Unofficial,False,False
Internet Relay Chat (IRC),6665–6669,Official,True,False
Killing Floor,20560,Unofficial,True,True
Killing Floor,28852,Unofficial,True,True
TetriNET,31457,Official,True,False
Zimbra mysql [mailbox][citation needed],7306,Unofficial,True,False
HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server,593,Official,True,True
HTTP Alternate (http_alt_alt)—used as an alternative to port 8080[citation needed],8090,Unofficial,True,False
Jungle Disk (this port is opened by the Jungle Disk Monitor service on the localhost)[citation needed],10891,Unofficial,True,False
SentinelSRM (hasplm), Aladdin HASP License Manager,1947,Official,True,True
CouchDB database server,5984,Official,True,True
Reserved,0,Official,False,True
Norman distributed scanning service,3999,Official,True,True
TELNET protocol over TLS/SSL,992,Official,True,True
Default for BMC Software Control-M/Server and Control-M/Agent for Server-to-Agent, though often changed during installation,7006,Unofficial,True,False
Gkrellm Server,19150,Unofficial,True,True
MS Exchange Routing,691,Official,True,False
Duke Nukem 3D#Source code Duke Nukem Ports,23513,Unofficial,False,False
Moby[citation needed],1792,Unofficial,True,True
Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF) (RFC 3684),712,Official,True,False
Miralix TimeOut[citation needed],3005,Unofficial,True,False
Network Caller ID server,3333,Unofficial,True,False
CruiseControl.rb[52],3333,Unofficial,True,False
Zimbra conversion server,7047,Unofficial,True,False
Citrix XenApp Independent Computing Architecture (ICA) thin client protocol[46],1494,Official,True,False
FRISK Software International's fpscand virus scanning daemon for Unix platforms [107],10200,Unofficial,True,False
FRISK Software International's f-protd virus scanning daemon for Unix platforms [108],10200,Unofficial,True,False
FRISK Software International's f-protd virus scanning daemon for Unix platforms [108],10201–10204,Unofficial,True,False
Cisco RADIUS Change of Authorization for TrustSec[citation needed],1700,Unofficial,False,True
Layer 2 Forwarding Protocol (L2F) & Layer 2 Tunneling Protocol (L2TP),1701,Official,False,True
Gearman' job server,4730,Official,True,True
Sub7 default.,27374,Unofficial,False,False
Teradici PCoIP,4172,Official,True,True
cvp, Commvault Unified Data Management,8400,Official,True,True
Windward Studios,1707,Official,True,True
Romtoc Interactive Modular Multiplayer Client-Server Online Application Interface & Layer 2 Tunneling Protocol (L2TP),1707,Unofficial,False,True
ConsoleWorks default UI interface[citation needed],5176,Unofficial,True,False
Extensible Messaging and Presence Protocol (XMPP) server connection[71][72],5269,Official,True,False
TeamSpeak—default,8767,Unofficial,False,True
Google Talk Voice and Video connections [113],19302,Unofficial,False,True
CPanel default SSL Web mail,2096,Unofficial,True,False
COMIT SE (PCR)[citation needed],5850,Unofficial,True,False
Adeona client: communications to OpenDHT[citation needed],5852,Unofficial,True,False
Extensible Messaging and Presence Protocol (XMPP) client connection[71][72],5222,Official,True,False
Perforce,1666,Unofficial,True,False
Default for Tidal Enterprise Scheduler agent-Socket used for communication between Master-to-Agent, though can be changed[citation needed],5912,Unofficial,True,False
FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80),591,Official,True,False
Network File System (protocol) Service,944,Unofficial,False,True
WebObjects,1085,Official,True,True
RuneScape JAGGRAB servers,43595,Unofficial,True,False
SMUX, SNMP Unix Multiplexer,199,Official,True,True
SOCKS proxy,1080,Official,True,False
Referral Whois (RWhois) Protocol[58],4321,Official,True,False
Internet Relay Chat (IRC),194,Official,True,True
Lincoln Electric's ArcLink/XT[citation needed],4323,Unofficial,False,True
ZangZing agent,30777,Unofficial,True,False
devpi Python package server [51],3141,Unofficial,True,False
